,index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,credit_of_future_tendency,Risk_credit,Credit_to_SELL
0,0,2016/9/11,621.65,,,,,,,,0.00%,0.00%,0.0,0.0,,0,0.0,0.0,0.0
1,1,2016/9/12,609.67,,,,,,-11.98,-0.0193,-1.93%,0.96%,5.99,0.009729396,,-200.00%,0.0,-3.0,-0.20170706370123764
2,2,2016/9/13,610.92,,,,,,1.25,0.0021,-1.73%,0.86%,5.377068594,0.0087563,,-199.55%,0.0,-3.0,-0.17147112405789058
3,3,2016/9/14,608.82,,,,,,-2.1,-0.0034,-2.06%,0.83%,5.183852332,0.008459772,,-247.50%,0.0,-3.47,-0.2065706948104992
4,4,2016/9/15,610.38,612.288,,,,,1.56,0.0026,-1.81%,0.76%,4.73370637,0.007731176,,-238.08%,0.0,-3.38,-0.19286018248793943
5,5,2016/9/16,609.11,609.78,,,,,-1.27,-0.0021,-2.02%,0.72%,4.480630226,0.007324183,,-279.87%,0.0,-3.8,-0.22392213436907568
6,6,2016/9/17,607.04,609.254,,,,,-2.07,-0.0034,-2.35%,0.72%,4.464759975,0.007306292,,-327.23%,0.0,-4.27,-0.2530875487430834
7,7,2016/9/18,611.58,609.386,,,,,4.54,0.0075,-1.62%,0.67%,4.17961702,0.00683898,,-240.93%,0.0,-3.41,-0.1876813820687104
8,8,2016/9/19,610.19,609.66,,,,,-1.39,-0.0023,-1.84%,0.64%,3.952023392,0.0064677,,-289.98%,0.0,-3.9,-0.23001931998582018
9,9,2016/9/20,608.66,609.316,610.802,,,,-1.53,-0.0025,-2.09%,0.61%,3.816600058,0.006248506,,-340.36%,0.0,-4.4,-0.25937493256885685
10,10,2016/9/21,598.88,607.27,608.525,,,,-9.78,-0.0161,-3.66%,0.80%,4.998883181,0.008198678,,-455.50%,0.0,-5.56,-0.3460397342827638
11,11,2016/9/22,597.42,605.346,607.3,,,,-1.46,-0.0024,-3.90%,0.94%,5.870254585,0.009644026,,-412.76%,0.0,-5.13,-0.30168027234475425
12,12,2016/9/23,594.08,601.846,605.616,,,,-3.34,-0.0056,-4.43%,1.10%,6.853641886,0.01128043,,-402.27%,0.0,-5.02,-0.29980546693176735
13,13,2016/9/24,603.88,600.584,605.122,,,,9.8,0.0165,-2.86%,1.07%,6.67232848,0.01098677,,-266.32%,0.0,-3.66,-0.18950184953992694
14,14,2016/9/25,601.74,599.2,604.258,,,,-2.14,-0.0035,-3.20%,1.06%,6.593894011,0.010864257,,-301.95%,0.0,-4.02,-0.23869232132673657
15,15,2016/9/26,598.98,599.22,603.245,,,,-2.76,-0.0046,-3.65%,1.07%,6.668552598,0.010996273,,-339.95%,0.0,-4.4,-0.2623420107581573
16,16,2016/9/27,605.96,600.928,603.137,,,,6.98,0.0117,-2.52%,1.04%,6.470421816,0.010670055,,-242.49%,0.0,-3.42,-0.18232868636426688
17,17,2016/9/28,605.67,603.246,602.546,,,,-0.29,-0.0005,-2.57%,1.01%,6.290400314,0.010373893,,-254.04%,0.0,-3.54,-0.20654352583961405
18,18,2016/9/29,603.85,603.24,601.912,,,,-1.82,-0.003,-2.86%,0.99%,6.148395868,0.010141922,,-289.51%,0.0,-3.9,-0.23100834604892032
19,19,2016/9/30,609.39,604.77,601.985,606.3935,,,5.54,0.0092,-1.97%,0.97%,6.032015646,0.009947362,,-203.25%,0.0,-3.03,-0.16318395601177538
20,20,2016/10/1,614.82,607.938,603.579,606.052,,,5.43,0.0089,-1.10%,0.99%,6.154088551,0.010141961,,-110.98%,0.0,-2.11,-0.11011344230206069
21,21,2016/10/2,612.98,609.342,605.135,606.2175,,,-1.84,-0.003,-1.39%,0.99%,6.149083937,0.01012902,,-141.00%,0.0,-2.41,-0.14437070559948215
22,22,2016/10/3,611.85,610.578,606.912,606.264,,,-1.13,-0.0018,-1.58%,0.98%,6.092219278,0.01003192,,-160.86%,0.0,-2.61,-0.15430444583159938
23,23,2016/10/4,609.62,611.732,607.486,606.304,,,-2.23,-0.0036,-1.94%,0.96%,5.982195748,0.009849168,,-201.10%,0.0,-3.01,-0.1801060826744347
24,24,2016/10/5,607.18,611.29,608.03,606.144,,,-2.44,-0.004,-2.33%,0.94%,5.861462971,0.009650519,,-246.87%,0.0,-3.47,-0.2074184314360136
25,25,2016/10/6,612.08,610.742,609.34,606.2925,,,4.9,0.0081,-1.54%,0.94%,5.818485844,0.009576906,,-164.48%,0.0,-2.64,-0.14206117353308365
26,26,2016/10/7,617.21,611.588,610.465,606.801,,,5.13,0.0084,-0.71%,0.96%,5.993861492,0.00985976,,-74.08%,0.0,-1.74,-0.08930584454616913
27,27,2016/10/8,614.74,612.166,611.372,606.959,,,-2.47,-0.004,-1.11%,0.97%,6.020724614,0.009899978,,-114.77%,0.0,-2.15,-0.13066562244724955
28,28,2016/10/9,615.65,613.372,612.552,607.232,,,0.91,0.0015,-0.97%,0.98%,6.072005528,0.009980059,,-98.81%,0.0,-1.99,-0.11359133259351735
29,29,2016/10/10,617.54,615.444,613.367,607.676,608.718,,1.89,0.0031,-0.66%,1.00%,6.190637232,0.010169959,,-66.39%,0.0,-1.66,-0.0921424993449546
30,30,2016/10/11,614.77,615.982,613.362,608.4705,608.4886667,,-2.77,-0.0045,-1.11%,0.99%,6.183132303,0.010154373,0.012314664,-111.27%,0.0,-2.11,-0.10865493825719355
31,31,2016/10/12,635.01,619.542,615.565,610.35,609.3333333,,20.24,0.0329,2.15%,1.22%,7.593014779,0.012453103,0.016753829,175.95%,0.0,0.76,0.11841713510016696
32,32,2016/10/13,635.96,623.786,617.976,612.444,610.168,,0.95,0.0015,2.30%,1.40%,8.725010313,0.014291028,0.022318443,164.01%,0.0,0.64,0.07628891333162803
33,33,2016/10/14,634.02,627.46,620.416,613.951,611.008,,-1.94,-0.0031,1.99%,1.52%,9.468202275,0.015490796,0.026925998,130.65%,0.0,0.31,0.05823083646924879
34,34,2016/10/15,637.94,631.54,623.492,615.761,611.9266667,,3.92,0.0062,2.62%,1.66%,10.33969811,0.016895531,0.032051771,157.55%,0.0,0.58,0.09555772535675258
35,35,2016/10/16,641.42,636.87,626.426,617.883,613.0036667,,3.48,0.0055,3.18%,1.82%,11.28490124,0.018415426,0.038933427,175.19%,0.0,0.75,0.11584855006640707
36,36,2016/10/17,638.97,637.662,628.602,619.5335,614.068,,-2.45,-0.0038,2.79%,1.92%,11.91310979,0.019418161,0.038422455,145.39%,0.0,0.45,0.08441871699005865
37,37,2016/10/18,636.29,637.728,630.757,621.0645,614.8916667,,-2.68,-0.0042,2.36%,1.98%,12.30819263,0.020042549,0.037138791,118.95%,0.0,0.19,0.06661002122586156
38,38,2016/10/19,629.25,636.774,632.117,622.3345,615.527,,-7.04,-0.0111,1.22%,1.99%,12.38301681,0.020151647,0.034518388,61.37%,0.0,-0.39,0.018797325495649067
39,39,2016/10/20,627.72,634.73,633.135,623.251,616.1623333,,-1.53,-0.0024,0.98%,1.99%,12.40044606,0.020169156,0.030134375,48.95%,0.0,-0.51,0.016852691931985492
40,40,2016/10/21,631.92,632.83,634.85,624.106,617.2636667,,4.2,0.0067,1.65%,2.02%,12.52903504,0.020364492,0.025218289,81.97%,0.0,-0.18,0.04075791111912734
