index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,Standard Dev,Coefficient of Variation,Bias(5:30),Danger
0,2016/9/11,621.65,,,,,,,,0,0,,
1,2016/9/12,609.67,,,,,,-11.98,-1.93%,5.99,0.009729396,,
2,2016/9/13,610.92,,,,,,1.25,0.21%,5.377068594,0.0087563,,
3,2016/9/14,608.82,,,,,,-2.1,-0.34%,5.183852332,0.008459772,,
4,2016/9/15,610.38,,,,,,1.56,0.26%,4.73370637,0.007731176,,
5,2016/9/16,609.11,612.29,,,,,-1.27,-0.21%,4.480630226,0.007324183,,
6,2016/9/17,607.04,609.78,,,,,-2.07,-0.34%,4.464759975,0.007306292,,
7,2016/9/18,611.58,609.25,,,,,4.54,0.75%,4.17961702,0.00683898,,
8,2016/9/19,610.19,609.39,,,,,-1.39,-0.23%,3.952023392,0.0064677,,
9,2016/9/20,608.66,609.66,,,,,-1.53,-0.25%,3.816600058,0.006248506,,
10,2016/9/21,598.88,609.32,610.8,,,,-9.78,-1.61%,4.998883181,0.008198678,,
11,2016/9/22,597.42,607.27,608.52,,,,-1.46,-0.24%,5.870254585,0.009644026,,
12,2016/9/23,594.08,605.35,607.3,,,,-3.34,-0.56%,6.853641886,0.01128043,,
13,2016/9/24,603.88,601.85,605.62,,,,9.8,1.65%,6.67232848,0.01098677,,
14,2016/9/25,601.74,600.58,605.12,,,,-2.14,-0.35%,6.593894011,0.010864257,,
15,2016/9/26,598.98,599.2,604.26,,,,-2.76,-0.46%,6.668552598,0.010996273,,
16,2016/9/27,605.96,599.22,603.25,,,,6.98,1.17%,6.470421816,0.010670055,,
17,2016/9/28,605.67,600.93,603.14,,,,-0.29,-0.05%,6.290400314,0.010373893,,
18,2016/9/29,603.85,603.25,602.55,,,,-1.82,-0.30%,6.148395868,0.010141922,,
19,2016/9/30,609.39,603.24,601.91,,,,5.54,0.92%,6.032015646,0.009947362,,
20,2016/10/1,614.82,604.77,601.99,606.39,,,5.43,0.89%,6.154088551,0.010141961,,
21,2016/10/2,612.98,607.94,603.58,606.05,,,-1.84,-0.30%,6.149083937,0.01012902,,
22,2016/10/3,611.85,609.34,605.13,606.22,,,-1.13,-0.18%,6.092219278,0.01003192,,
23,2016/10/4,609.62,610.58,606.91,606.26,,,-2.23,-0.36%,5.982195748,0.009849168,,
24,2016/10/5,607.18,611.73,607.49,606.3,,,-2.44,-0.40%,5.861462971,0.009650519,,
25,2016/10/6,612.08,611.29,608.03,606.14,,,4.9,0.81%,5.818485844,0.009576906,,
26,2016/10/7,617.21,610.74,609.34,606.29,,,5.13,0.84%,5.993861492,0.00985976,,
27,2016/10/8,614.74,611.59,610.47,606.8,,,-2.47,-0.40%,6.020724614,0.009899978,,
28,2016/10/9,615.65,612.17,611.37,606.96,,,0.91,0.15%,6.072005528,0.009980059,,
29,2016/10/10,617.54,613.37,612.55,607.23,,,1.89,0.31%,6.190637232,0.010169959,,
30,2016/10/11,614.77,615.44,613.37,607.68,608.72,,-2.77,-0.45%,6.183132303,0.010154373,-0.011039558,
31,2016/10/12,635.01,615.98,613.36,608.47,608.49,,20.24,3.29%,7.593014779,0.012453103,-0.012309159,
32,2016/10/13,635.96,619.54,615.57,610.35,609.33,,0.95,0.15%,8.725010313,0.014291028,-0.016756109,
33,2016/10/14,634.02,623.79,617.98,612.44,610.17,,-1.94,-0.31%,9.468202275,0.015490796,-0.022321648,
34,2016/10/15,637.94,627.46,620.42,613.95,611.01,,3.92,0.62%,10.33969811,0.016895531,-0.026922636,
35,2016/10/16,641.42,631.54,623.49,615.76,611.93,,3.48,0.55%,11.28490124,0.018415426,-0.032046149,
36,2016/10/17,638.97,636.87,626.43,617.88,613,,-2.45,-0.38%,11.91310979,0.019418161,-0.038939641,
37,2016/10/18,636.29,637.66,628.6,619.53,614.07,,-2.68,-0.42%,12.30819263,0.020042549,-0.038415816,
38,2016/10/19,629.25,637.73,630.76,621.06,614.89,,-7.04,-1.11%,12.38301681,0.020151647,-0.037144855,
39,2016/10/20,627.72,636.77,632.12,622.33,615.53,,-1.53,-0.24%,12.40044606,0.020169156,-0.034506848,
40,2016/10/21,631.92,634.73,633.13,623.25,616.16,,4.2,0.67%,12.52903504,0.020364492,-0.030138276,
41,2016/10/22,655.48,632.83,634.85,624.11,617.26,,23.56,3.73%,13.81580083,0.022421064,-0.025224379,
42,2016/10/23,653.25,636.13,636.9,626.23,619.2,,-2.23,-0.34%,14.75204011,0.023907014,-0.027341731,
43,2016/10/24,651.39,639.52,638.63,628.3,621.17,,-1.86,-0.28%,15.45492102,0.025014467,-0.029541027,
44,2016/10/25,655.31,643.95,640.36,630.39,622.75,,3.92,0.60%,16.24975386,0.02626554,-0.034042553,
45,2016/10/26,651.45,649.47,642.1,632.8,624.54,,-3.86,-0.59%,16.76791277,0.027071893,-0.039917379,
46,2016/10/27,682.22,653.38,643.1,634.76,626.29,,30.77,4.72%,18.90501397,0.030456516,-0.043254722,
47,2016/10/28,687.68,658.72,647.43,638.01,628.83,,5.46,0.80%,21.00982711,0.033771534,-0.047532719,
48,2016/10/29,685.91,665.61,652.57,641.66,631.57,,-1.77,-0.26%,22.66633693,0.036358147,-0.05389743,
49,2016/10/30,698,672.51,658.23,645.17,634.3,,12.09,1.76%,24.74895965,0.039604038,-0.060239634,
50,2016/10/31,702,681.05,665.26,649.2,637.25,,4,0.57%,26.7346773,0.042678411,-0.068732836,
51,2016/11/1,697.01,691.16,672.27,653.56,640.16,,-4.99,-0.71%,28.19533392,0.044912831,-0.079667583,
52,2016/11/2,733.33,694.12,676.42,656.66,642.96,,36.32,5.21%,31.40412011,0.04986597,-0.079569491,
53,2016/11/3,686.17,703.25,684.43,661.53,647.01,,-47.16,-6.43%,32.02764574,0.050771852,-0.086922922,
54,2016/11/4,683.69,703.3,687.91,664.14,649.56,,-2.48,-0.36%,32.51196101,0.051461186,-0.082732927,
55,2016/11/5,704.79,700.44,690.75,666.42,652.11,,21.1,3.09%,33.63998293,0.053137002,-0.074113263,
56,2016/11/6,712,701,696.08,669.59,655.2,,7.21,1.02%,34.91628646,0.055032667,-0.06990232,
57,2016/11/7,709.96,704,699.06,673.24,658.36,,-2.04,-0.29%,35.98195174,0.056596185,-0.069323774,
58,2016/11/8,708.97,699.32,701.29,676.93,661.54,,-0.99,-0.14%,36.90587956,0.057936369,-0.05710917,
59,2016/11/9,720.93,703.88,703.59,680.91,664.65,,11.96,1.69%,38.14146009,0.059744849,-0.059023546,
60,2016/11/10,721.5,711.33,705.88,685.57,668.09,638.41,0.57,0.08%,39.2715866,0.061384103,-0.064721819,
61,2016/11/11,715.45,714.67,707.84,690.05,671.65,640.07,-6.05,-0.84%,40.1033112,0.06256477,-0.064051217,
62,2016/11/12,703.71,715.36,709.68,693.05,674.33,641.83,-11.74,-1.64%,40.54873645,0.063161572,-0.06084558,
63,2016/11/13,702.28,714.11,706.72,695.57,676.59,643.38,-1.43,-0.20%,40.91977079,0.063646119,-0.055454559,
64,2016/11/14,706.46,712.77,708.33,698.12,678.87,644.94,4.18,0.60%,41.34987421,0.064217467,-0.049935923,
65,2016/11/15,710.91,709.88,710.61,700.68,681.15,646.54,4.45,0.63%,41.8437902,0.064882232,-0.042178668,
66,2016/11/16,711.73,707.76,711.22,703.65,683.47,648.24,0.82,0.12%,42.31309359,0.065508636,-0.035539234,
67,2016/11/17,736.96,707.02,711.19,705.12,685.89,649.98,25.23,3.54%,43.40705471,0.067063282,-0.030806689,
68,2016/11/18,747.52,713.67,713.89,707.59,689.25,652.07,10.56,1.43%,44.72639327,0.068946853,-0.035429815,
69,2016/11/19,748.98,722.72,717.75,710.67,693.19,654.36,1.46,0.20%,45.97232936,0.070711353,-0.042600153,
70,2016/11/20,729.06,731.22,720.55,713.22,697.23,656.7,-19.92,-2.66%,46.58513129,0.071531624,-0.048750054,
71,2016/11/21,738.53,734.85,721.31,714.57,700.47,658.87,9.47,1.30%,47.37468765,0.072608842,-0.049081331,
