index,Date,Value,ma5,ma10,ma20,ma30,ma60
0,2016/9/12,1324.6,,,,,
1,2016/9/13,1323.65,,,,,
2,2016/9/14,1321.75,,,,,
3,2016/9/15,1310.8,,,,,
4,2016/9/16,1308.35,,,,,
5,2016/9/17,1308.35,1317.83,,,,
6,2016/9/18,1308.35,1314.58,,,,
7,2016/9/19,1314.85,1311.52,,,,
8,2016/9/20,1313.8,1310.14,,,,
9,2016/9/21,1326.1,1310.74,,,,
10,2016/9/22,1339.1,1314.29,1316.06,,,
11,2016/9/23,1338.65,1320.44,1317.51,,,
12,2016/9/24,1338.65,1326.5,1319.01,,,
13,2016/9/25,1338.65,1331.26,1320.7,,,
14,2016/9/26,1340.5,1336.23,1323.48,,,
15,2016/9/27,1327,1339.11,1326.7,,,
16,2016/9/28,1322.5,1336.69,1328.57,,,
17,2016/9/29,1318.1,1333.46,1329.98,,,
18,2016/9/30,1322.5,1329.35,1330.31,,,
19,2016/10/1,1322.5,1326.12,1331.17,,,
20,2016/10/2,1322.5,1322.52,1330.82,1323.44,,
21,2016/10/3,1313.3,1321.62,1329.15,1323.33,,
22,2016/10/4,1283.3,1319.78,1326.62,1322.82,,
23,2016/10/5,1269.4,1312.82,1321.09,1320.89,,
24,2016/10/6,1254.5,1302.2,1314.16,1318.82,,
25,2016/10/7,1258.75,1288.6,1305.56,1316.13,,
26,2016/10/8,1258.75,1275.85,1298.73,1313.65,,
27,2016/10/9,1258.75,1264.94,1292.36,1311.17,,
28,2016/10/10,1259.5,1260.03,1286.42,1308.37,,
29,2016/10/11,1253.45,1258.05,1280.12,1305.65,,
30,2016/10/12,1256.5,1257.84,1273.22,1302.02,1306.7,
31,2016/10/13,1261.05,1257.39,1266.62,1297.89,1304.43,
32,2016/10/14,1251.75,1257.85,1261.39,1294.01,1302.34,
33,2016/10/15,1251.75,1256.45,1258.24,1289.66,1300.01,
34,2016/10/16,1251.75,1254.9,1256.47,1285.32,1298.04,
35,2016/10/17,1254.8,1254.56,1256.2,1280.88,1296.15,
36,2016/10/18,1258.2,1254.22,1255.81,1277.27,1294.37,
37,2016/10/19,1269.05,1253.65,1255.75,1274.06,1292.7,
38,2016/10/20,1271.65,1257.11,1256.78,1271.6,1291.17,
39,2016/10/21,1266.05,1261.09,1257.99,1269.06,1289.77,
40,2016/10/22,1266.05,1263.95,1259.26,1266.24,1287.76,
41,2016/10/23,1266.05,1266.2,1260.21,1263.41,1285.33,
42,2016/10/24,1265.55,1267.77,1260.71,1261.05,1282.91,
43,2016/10/25,1269.4,1267.07,1262.09,1260.16,1280.47,
44,2016/10/26,1270.5,1266.62,1263.86,1260.16,1278.16,
45,2016/10/27,1266.25,1267.51,1265.73,1260.96,1275.83,
46,2016/10/28,1273,1267.55,1266.88,1261.34,1273.81,
