Date,USD (PM),value,ma5
2009/12/16,1324.6,1324.6,
9/13/16,1323.65,1324.6,
9/14/16,1321.75,1323.65,
9/15/16,1310.8,1321.75,
9/16/16,1308.35,1310.8,1321.08
9/19/16,1314.85,1308.35,1317.83
9/20/16,1313.8,1308.35,1314.58
9/21/16,1326.1,1308.35,1311.52
9/22/16,1339.1,1314.85,1310.14
9/23/16,1338.65,1313.8,1310.74
9/26/16,1340.5,1326.1,1314.29
9/27/16,1327,1339.1,1320.44
9/28/16,1322.5,1338.65,1326.5
9/29/16,1318.1,1338.65,1331.26
9/30/16,1322.5,1338.65,1336.23
2010/3/16,1313.3,1340.5,1339.11
2010/4/16,1283.3,1327,1336.69
2010/5/16,1269.4,1322.5,1333.46
2010/6/16,1254.5,1318.1,1329.35
2010/7/16,1258.75,1322.5,1326.12
2010/10/16,1259.5,1322.5,1322.52
2010/11/16,1253.45,1322.5,1321.62
2010/12/16,1256.5,1313.3,1319.78
10/13/16,1261.05,1283.3,1312.82
10/14/16,1251.75,1269.4,1302.2
10/17/16,1254.8,1254.5,1288.6
10/18/16,1258.2,1258.75,1275.85
10/19/16,1269.05,1258.75,1264.94
10/20/16,1271.65,1258.75,1260.03
10/21/16,1266.05,1259.5,1258.05
10/24/16,1265.55,1253.45,1257.84
10/25/16,1269.4,1256.5,1257.39
10/26/16,1270.5,1261.05,1257.85
10/27/16,1266.25,1251.75,1256.45
10/28/16,1273,1251.75,1254.9
10/31/16,1272,1251.75,1254.56
2011/1/16,1288.45,1254.8,1254.22
2011/2/16,1303.75,1258.2,1253.65
2011/3/16,1301,1269.05,1257.11
2011/4/16,1302.8,1271.65,1261.09
2011/7/16,1283.05,1266.05,1263.95
2011/8/16,1282.35,1266.05,1266.2
2011/9/16,1281.4,1266.05,1267.77
2011/10/16,1267.5,1265.55,1267.07
2011/11/16,1236.45,1269.4,1266.62
11/14/16,1213.6,1270.5,1267.51
11/15/16,1226.95,1266.25,1267.55
11/16/16,1229.2,1273,1268.94
11/17/16,1226.75,1273,1270.43
11/18/16,1211,1273,1271.15
11/21/16,1214.25,1272,1271.45
11/22/16,1212.25,1288.45,1275.89
11/23/16,1185.35,1303.75,1282.04
11/24/16,1186.1,1301,1287.64
11/25/16,1187.7,1302.8,1293.6
11/28/16,1187,1302.8,1299.76
11/29/16,1186.55,1302.8,1302.63
11/30/16,1178.1,1283.05,1298.49
2012/1/16,1161.85,1282.35,1294.76
2012/2/16,1173.5,1281.4,1290.48
2012/5/16,1162.2,1267.5,1283.42
2012/6/16,1172.5,1236.45,1270.15
2012/7/16,1177.65,1236.45,1260.83
2012/8/16,1171.05,1236.45,1251.65
2012/9/16,1163.6,1213.6,1238.09
2012/12/16,1156.1,1226.95,1229.98
12/13/16,1158.55,1229.2,1228.53
12/14/16,1162.25,1226.75,1226.59
12/15/16,1126.95,1211,1221.5
12/16/16,1131.6,1211,1220.98
12/19/16,1136.25,1211,1217.79
12/20/16,1125.7,1214.25,1214.8
12/21/16,1133.65,1212.25,1211.9
12/22/16,1131.35,1185.35,1206.77
12/23/16,,1186.1,1201.79
12/28/16,1134.6,1187.7,1197.13
12/29/16,1145.9,1187.7,1191.82
12/30/16,,1187.7,1186.91
2001/3/17,1151,1187,1187.24
2001/4/17,1164.25,1186.55,1187.33
2001/5/17,1176.7,1178.1,1185.41
2001/6/17,1175.85,1161.85,1180.24
2001/9/17,1178.5,1173.5,1177.4
2001/10/17,1189.5,1173.5,1174.7
2001/11/17,1178.55,1173.5,1172.09
2001/12/17,1205.05,1162.2,1168.91
1/13/17,1190.35,1172.5,1171.04
1/16/17,1203,1177.65,1171.87
1/17/17,1216.05,1171.05,1171.38
1/18/17,1214.75,1163.6,1169.4
1/19/17,1196.05,1163.6,1169.68
1/20/17,1200.55,1163.6,1167.9
1/23/17,1212.85,1156.1,1163.59
1/24/17,1216.8,1158.55,1161.09
1/25/17,1195,1162.25,1160.82
1/26/17,1189.7,1126.95,1153.49
1/27/17,1184.85,1131.6,1147.09
1/30/17,1192.8,1131.6,1142.19
1/31/17,1212.8,1131.6,1136.8
2002/1/17,1203.65,1136.25,1131.6
2002/2/17,1221.95,1125.7,1131.35
2002/3/17,1215.2,1133.65,1131.76
2002/6/17,1226.75,1131.35,1131.71
2002/7/17,1231,1131.35,1131.66
2002/8/17,1242.1,1131.35,1130.68
