index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,credit_of_future_tendency,Risk_credit,Credit_to_SELL
0,2016/9/11,621.65,,,,,,,,0.00%,0.00%,0,0,,0,0,0,0
1,2016/9/12,609.67,,,,,,-11.98,-1.93%,-1.93%,0.96%,5.99,0.009729396,,-200.00%,0,-3,1.65
2,2016/9/13,610.92,,,,,,1.25,0.21%,-1.73%,0.86%,5.377068594,0.0087563,,-199.55%,0,-3,3.14
3,2016/9/14,608.82,,,,,,-2.1,-0.34%,-2.06%,0.83%,5.183852332,0.008459772,,-247.50%,0,-3.47,3.23
4,2016/9/15,610.38,612.288,,,,,1.56,0.26%,-1.81%,0.76%,4.73370637,0.007731176,,-238.08%,0,-3.38,3.56
5,2016/9/16,609.11,609.78,,,,,-1.27,-0.21%,-2.02%,0.72%,4.480630226,0.007324183,,-279.87%,0,-3.8,3.65
6,2016/9/17,607.04,609.254,,,,,-2.07,-0.34%,-2.35%,0.72%,4.464759975,0.007306292,,-327.23%,0,-4.27,4.03
7,2016/9/18,611.58,609.386,,,,,4.54,0.75%,-1.62%,0.67%,4.17961702,0.00683898,,-240.93%,0,-3.41,3.93
8,2016/9/19,610.19,609.66,,,,,-1.39,-0.23%,-1.84%,0.64%,3.952023392,0.0064677,,-289.98%,0,-3.9,3.74
9,2016/9/20,608.66,609.316,610.802,,,,-1.53,-0.25%,-2.09%,0.61%,3.816600058,0.006248506,,-340.36%,0,-4.4,4.23
10,2016/9/21,598.88,607.27,608.525,,,,-9.78,-1.61%,-3.66%,0.80%,4.998883181,0.008198678,,-455.50%,0,-5.56,4.43
11,2016/9/22,597.42,605.346,607.3,,,,-1.46,-0.24%,-3.90%,0.94%,5.870254585,0.009644026,,-412.76%,0,-5.13,4.96
12,2016/9/23,594.08,601.846,605.616,,,,-3.34,-0.56%,-4.43%,1.10%,6.853641886,0.01128043,,-402.27%,0,-5.02,4.63
13,2016/9/24,603.88,600.584,605.122,,,,9.8,1.65%,-2.86%,1.07%,6.67232848,0.01098677,,-266.32%,0,-3.66,4.82
14,2016/9/25,601.74,599.2,604.258,,,,-2.14,-0.35%,-3.20%,1.06%,6.593894011,0.010864257,,-301.95%,0,-4.02,3.77
15,2016/9/26,598.98,599.22,603.245,,,,-2.76,-0.46%,-3.65%,1.07%,6.668552598,0.010996273,,-339.95%,0,-4.4,4.08
16,2016/9/27,605.96,600.928,603.137,,,,6.98,1.17%,-2.52%,1.04%,6.470421816,0.010670055,,-242.49%,0,-3.42,4.24
17,2016/9/28,605.67,603.246,602.546,,,,-0.29,-0.05%,-2.57%,1.01%,6.290400314,0.010373893,,-254.04%,0,-3.54,3.51
18,2016/9/29,603.85,603.24,601.912,,,,-1.82,-0.30%,-2.86%,0.99%,6.148395868,0.010141922,,-289.51%,0,-3.9,3.68
