index,date,value,ma5,ma10,ma20,ma30,ma60,Profit,Profit rate,180 day profit,Standard Dev of 180-day-profit,Standard Dev,Coefficient of Variation,Bias(5:30),sharp ratio,Credit_of_future_tendency,Risk_credit,Credit_to_SELL,DealDay
0,2016/9/11,1324.6,,,,,,0,0.00%,0.00%,0.00%,0.00%,0,,0,,0,0.00 ,0
1,2016/9/12,1324.6,,,,,,0,0.00%,0.00%,0.00%,0,0,,0,,0,0.00 ,1
2,2016/9/13,1323.65,,,,,,-0.95,-0.07%,-0.07%,0.03%,0.447834295,0.000338171,,-212.13%,,0,(0.00),1
3,2016/9/14,1321.75,,,,,,-1.9,-0.14%,-0.22%,0.09%,1.163507628,0.000879015,,-244.95%,,-3.45,(0.92),1
4,2016/9/15,1310.8,1321.08,,,,,-10.95,-0.83%,-1.04%,0.40%,5.244292135,0.003969701,,-263.14%,-1,-3.63,(1.11),1
5,2016/9/16,1308.35,1317.83,,,,,-2.45,-0.19%,-1.23%,0.51%,6.739894699,0.005110013,,-241.10%,-1.13,-3.41,(1.07),1
6,2016/9/17,1308.35,1314.58,,,,,0,0.00%,-1.23%,0.55%,7.260629084,0.005511153,,-223.81%,-1.07,-3.24,(1.01),0
7,2016/9/18,1308.35,1311.52,,,,,0,0.00%,-1.23%,0.56%,7.427669449,0.005642813,,-218.78%,-0.88,-3.19,(0.97),0
8,2016/9/19,1314.85,1310.14,,,,,6.5,0.50%,-0.74%,0.53%,7.017812434,0.005332099,,-138.93%,-0.79,-2.39,(0.75),1
9,2016/9/20,1313.8,1310.74,1315.91,,,,-1.05,-0.08%,-0.82%,0.51%,6.69472927,0.005087528,,-161.32%,-0.7,-2.61,(0.79),1
10,2016/9/21,1326.1,1314.29,1316.06,,,,12.3,0.94%,0.11%,0.53%,7.023275942,0.005333446,,21.36%,-0.34,-0.79,(0.26),1
11,2016/9/22,1339.1,1320.44,1317.51,,,,13,0.98%,1.09%,0.69%,9.114796426,0.006912,,159.08%,0.03,0.59,0.16 ,1
12,2016/9/23,1338.65,1326.5,1319.01,,,,-0.45,-0.03%,1.06%,0.77%,10.24562975,0.007760507,,137.13%,0,0.37,0.10 ,1
13,2016/9/24,1338.65,1331.26,1320.7,,,,0,0.00%,1.06%,0.83%,10.95384566,0.00828868,,128.27%,0,0.28,0.07 ,0
14,2016/9/25,1338.65,1336.23,1323.485,,,,0,0.00%,1.06%,0.86%,11.41039974,0.008626706,,123.13%,0,0.23,0.06 ,0
15,2016/9/26,1340.5,1339.11,1326.7,,,,1.85,0.14%,1.20%,0.90%,11.85999669,0.008959076,,134.06%,0,0.34,0.09 ,1
16,2016/9/27,1327,1336.69,1328.565,,,,-13.5,-1.01%,0.18%,0.87%,11.53054466,0.008708967,,20.81%,0,-0.79,(0.21),1
17,2016/9/28,1322.5,1333.46,1329.98,,,,-4.5,-0.34%,-0.16%,0.85%,11.2108389,0.008468023,,-18.73%,0,-1.19,(0.32),1
18,2016/9/29,1318.1,1329.35,1330.305,,,,-4.4,-0.33%,-0.49%,0.83%,10.98849247,0.00830199,,-59.15%,0,-1.59,(0.43),1
19,2016/9/30,1322.5,1326.12,1331.175,1323.5425,,,4.4,0.33%,-0.16%,0.81%,10.71292765,0.008094132,,-19.60%,0,-1.2,(0.32),1
20,2016/10/1,1322.5,1322.52,1330.815,1323.4375,,,0,0.00%,-0.16%,0.79%,10.45710383,0.007901141,,-20.08%,0,-1.2,(0.32),0
21,2016/10/2,1322.5,1321.62,1329.155,1323.3325,,,0,0.00%,-0.16%,0.77%,10.21877147,0.007721326,,-20.55%,0,-1.21,(0.32),0
22,2016/10/3,1313.3,1319.78,1326.62,1322.815,,,-9.2,-0.70%,-0.85%,0.77%,10.2061608,0.007714369,,-110.72%,0,-2.11,(0.56),1
23,2016/10/4,1283.3,1312.82,1321.085,1320.8925,,,-30,-2.28%,-3.12%,0.96%,12.75853864,0.009655669,,-323.70%,0,-4.24,(1.14),1
24,2016/10/5,1269.4,1302.2,1314.16,1318.8225,,,-13.9,-1.08%,-4.17%,1.22%,16.12176864,0.012220182,,-342.39%,0,-4.42,(1.18),1
25,2016/10/6,1254.5,1288.6,1305.56,1316.13,,,-14.9,-1.17%,-5.29%,1.52%,20.12660382,0.015284681,,-348.30%,0,-4.48,(1.20),1
26,2016/10/7,1258.75,1275.85,1298.735,1313.65,,,4.25,0.34%,-4.97%,1.71%,22.58739816,0.017181519,,-291.53%,0,-3.92,(1.05),1
27,2016/10/8,1258.75,1264.94,1292.36,1311.17,,,0,0.00%,-4.97%,1.85%,24.48509614,0.018653357,,-268.94%,0,-3.69,(0.99),0
28,2016/10/9,1258.75,1260.03,1286.425,1308.365,,,0,0.00%,-4.97%,1.96%,25.9909053,0.01982859,,-253.36%,0,-3.53,(0.94),0
29,2016/10/10,1259.5,1258.05,1280.125,1305.65,1309.07,,0.75,0.06%,-4.91%,2.05%,27.16137147,0.020748601,,-239.68%,0,-3.4,(0.91),1
