,outputs,gt,train_loss,error
0,0,621.65,0,0
1,0,609.67,0,0
2,0,610.92,0,0
3,0,608.82,0,0
4,0,610.38,0,0
5,-201.2167257,609.11,0,-4.027134041
6,-210.1508706,607.04,0,-3.888591412
7,-218.4467736,611.58,0,-3.799675133
8,-223.4922562,610.19,0,-3.730251197
9,-226.5316214,608.66,0,-3.686865508
10,75.19038395,598.88,2099795.5,6.964848276
11,648.3340078,597.42,195991.7188,-0.078530522
12,606.4359871,594.08,1021.228333,-0.020374759
13,602.2929932,603.88,222.3092804,0.002634942
14,601.2014078,601.74,135.4797821,0.00089586
15,599.5150551,598.98,64.11952209,-0.00089248
16,599.3019873,605.96,61.18550873,0.011109612
17,599.2519683,605.67,90.09874725,0.010710072
18,601.5868454,603.85,41.26088333,0.003761975
19,598.7099631,609.39,36.32774734,0.017838415
20,604.3662126,614.82,75.31874847,0.017297108
21,609.7699687,612.98,81.82756042,0.005264332
22,609.2254532,611.85,90.08811188,0.004308006
23,610.4051404,609.62,75.11697388,-0.001286261
24,614.8783407,607.18,24.31669998,-0.012520104
25,616.1525338,612.08,42.45329285,-0.00660962
26,610.3728164,617.21,33.35925293,0.011201651
27,611.6766857,614.74,58.87506104,0.005008061
28,612.2081278,615.65,66.78489685,0.005622062
29,613.2803935,617.54,65.20762634,0.00694561
30,613.5636138,614.77,22.1456871,0.001966196
31,619.9030935,635.01,10.94222736,0.024369787
32,619.2915936,635.96,320.3275757,0.02691528
33,623.4346504,634.02,492.842865,0.016979084
34,627.3336966,637.94,464.3531189,0.016906956
35,630.6387095,641.42,387.4607849,0.017095827
36,652.644946,638.97,59.88759613,-0.020953117
37,638.9410391,636.29,117.0811157,-0.004149114
38,637.5212255,629.25,37.07993698,-0.012974039
39,638.5835238,627.72,96.16381836,-0.017011907
40,638.3174113,631.92,162.4160614,-0.010022304
41,633.3099879,655.48,108.8515015,0.035006573
42,635.7415948,653.25,566.3150024,0.027540129
43,639.2117251,651.39,823.8590088,0.019052021
44,643.703557,655.31,756.3495483,0.018030727
45,646.6246387,651.45,445.7263794,0.007462384
46,668.8965769,682.22,57.98761749,0.01991851
47,658.4548219,687.68,791.5330811,0.044384485
48,665.3580386,685.91,1410.869507,0.030888575
49,673.0255358,698,1393.207764,0.037107751
50,681.1837478,702,1359.886963,0.030558938
51,717.9398279,697.01,382.8511353,-0.029152621
52,698.7440503,733.33,420.0568237,0.049497308
53,703.0750218,686.17,1384.900024,-0.024044407
54,714.0429347,683.69,1420.773682,-0.042508557
55,703.9876842,704.79,1808.891968,0.001139673
56,699.8437743,712,1763.30603,0.017369913
57,733.0477824,709.96,1864.831421,-0.031495604
58,697.914353,708.97,1296.760986,0.01584098
59,704.6707195,720.93,605.0986938,0.023073586
60,711.5909981,721.5,175.1190948,0.013925137
61,714.7868019,715.45,174.9360504,0.000927826
62,696.1283379,703.71,161.8558197,0.010891184
63,715.4738464,702.28,427.03302,-0.018440711
64,720.4843857,706.46,399.0783386,-0.019465218
65,709.2575364,710.91,352.3084106,0.00232985
66,707.7307388,711.73,141.3999634,0.005650823
67,707.4949007,736.96,88.8584137,0.041647084
68,714.2433783,747.52,839.8681641,0.046590032
69,723.3369049,748.98,1565.01709,0.035451108
70,726.2840128,729.06,1652.341553,0.003822179
71,731.8939471,738.53,1146.525879,0.00906696
72,764.3637584,736.97,381.0679016,-0.035838641
73,748.4510547,741.63,494.9754944,-0.009113561
74,739.9679615,737.45,267.6272888,-0.003402798
75,737.1935972,735.64,100.9858551,-0.002107448
76,737.9766745,733.67,24.76594353,-0.005835787
77,737.0705173,727.96,40.66864777,-0.012360442
78,735.1911941,727.31,117.2575302,-0.010719925
79,725.7969806,732.71,102.4412003,0.009524729
80,731.0304508,742.69,76.80374908,0.015949471
81,732.7853289,742.05,190.9148865,0.01264309
82,734.8633426,772.43,273.4559937,0.051120603
83,739.0084086,764.33,1440.380615,0.034264281
84,748.6163498,762.97,1392.33374,0.019173573
85,763.4992205,754.63,949.7353516,-0.011616542
86,759.3994934,756.62,644.5640869,-0.00366012
87,789.6533437,758.99,282.7522583,-0.038831399
88,761.0740322,769.72,402.7677917,0.011360219
89,760.3287299,770.02,176.7276001,0.012746158
90,762.2930903,769.08,264.8045654,0.008903281
91,765.4614996,777,212.7636719,0.015073913
92,761.5766057,777,197.9093323,0.020251928
93,777.5571854,777.99,141.3385315,0.000556634
94,775.0775682,774.89,94.66381073,-0.000241999
95,775.8009931,776.75,66.50996399,0.001223261
96,783.4943526,775.88,11.49457836,-0.009718452
97,776.0983822,788.7,22.47165489,0.01623714
98,779.7058402,788.4,159.2598419,0.011150564
99,781.6337949,788.67,248.452179,0.00900192
100,784.9045846,793.09,235.395752,0.010428548
101,787.9912782,824.21,205.0624237,0.045963354
102,807.6739806,834.97,1220.053955,0.033795838
103,807.2412049,901.31,2471.652344,0.116531211
104,827.395317,891.61,9822.445313,0.077610644
105,855.0895154,892.6,9893.220703,0.043867319
106,904.4361591,897.33,6056.49707,-0.007857005
107,893.6345032,930.37,3490.331299,0.041107966
108,970.5301655,930.34,1268.406738,-0.041410527
109,908.0390332,963.38,3295.189941,0.060945581
110,923.4264859,952.15,3805.021484,0.031105361
111,935.8671651,958.12,2932.280273,0.023777771
112,976.7630127,997.72,1187.316284,0.02145555
113,959.9822976,1015.97,2694.378174,0.058321599
114,1010.977381,1013.42,3682.495605,0.002416096
115,988.5112837,1126.76,4472.234375,0.139855476
116,1025.44472,994.67,17519.24023,-0.030011096
117,1068.577099,999.65,13373.53418,-0.064503627
118,1048.696415,896.83,13580.90332,-0.144814469
119,1007.609779,908.14,29561.53125,-0.098718552
120,1090.045447,910.49,36195.64844,-0.1647229
121,949.2710312,906.05,19806.20117,-0.04553076
122,927.4916054,785.22,7989.394531,-0.153393955
123,886.9846445,780.92,13133.34668,-0.119578896
124,862.1547385,826.29,20007.00391,-0.041598958
125,754.3529378,817.91,16903.50391,0.084253748
126,829.8724056,819.55,13080.50684,-0.012438545
127,737.7492471,830.5,2385.152588,0.125721244
128,820.2518091,903.84,4239.078125,0.101905525
129,840.6746447,906.6,5503.291504,0.078419583
130,852.6471915,895.798875,8520.958984,0.050609072
131,797.9560385,893.6210875,7480.129883,0.119887618
132,895.7817959,895.64,8036.424805,-0.000158293
133,976.6647724,918.603625,196.6092834,-0.059448389
134,899.2943664,922.0736125,3289.19873,0.025330133
135,905.4253069,919.97,796.7147827,0.016063935
136,910.3068448,893.045625,807.4331665,-0.01896198
137,909.6982737,915.95625,843.3652344,0.006879178
138,925.5947253,915.05,598.5658569,-0.011392378
139,915.994717,920.31225,626.2186279,0.004713491
140,912.9499952,915.933,535.7108154,0.003267435
141,912.1896254,912.19,484.6259766,4.10662E-07
142,915.7150812,964.706075,42.54030991,0.053500259
143,925.5859838,979.703875,2054.506348,0.058468789
144,936.8014149,983.42,4134.944336,0.049763572
145,951.3342293,1013.027,5054.885254,0.064848682
146,970.1427626,1030.999413,5789.435059,0.062729582
147,1039.955263,1034.07,3235.814941,-0.00565915
148,1025.601899,1024.01375,3346.401123,-0.001548504
149,1021.598836,1050.11,1831.289063,0.027908375
150,1059.882842,1052.84,813.25,-0.006644925
151,1057.85333,976.103,902.1819458,-0.077279456
152,1033.261968,999.1035,4497.979492,-0.033058865
153,1020.99092,997.59,4714.528809,-0.022919812
154,1029.899712,1000.604625,5051.362305,-0.028444602
155,1008.706853,999.877375,3662.074219,-0.008753265
156,995.1889813,1001.2,615.381958,0.006040078
157,999.5550387,1012.325988,12.68429375,0.012776634
158,1002.098339,1035.208125,146.7126312,0.033040456
159,1009.474274,1035.2,997.956543,0.025484281
160,968.1061677,1056.637138,1339.314453,0.091447584
161,1026.265914,1052.779286,3615.353027,0.025834798
162,1050.060879,1050.87,1373.901245,0.000770547
163,1070.153621,1123.788429,472.3134155,0.050118793
164,1063.536939,1123.223188,5081.654297,0.056120523
165,1103.896502,1130.01,6472.434082,0.023655748
166,1098.070808,1174.86625,7159.476563,0.069936694
167,1121.401296,1150.605714,8483.689453,0.026042789
168,1212.748858,1150.37,2328.960693,-0.051435924
169,1145.564093,1190.75195,3939.441895,0.039445944
170,1165.995418,1187.565286,2444.586426,0.018499102
171,1216.767996,1190.89,1691.830322,-0.021267814
172,1172.562447,1259.410817,2954.482422,0.07406716
173,1197.830043,1285.14,6808.887695,0.072890104
174,1241.303006,1287,9476.944336,0.03681373
175,1244.688482,1270.9333,10689.44141,0.021085451
176,1262.122876,1275.197375,6850.42334,0.010359134
177,1349.088937,1279.5,736.5710449,-0.051582172
178,1300.174511,1157.3933,2390.339111,-0.109816959
179,1253.52493,1192.469143,13459,-0.048707278
180,1232.89691,1192.09,13915.15332,-0.033098396
181,1216.624552,1179.159875,13017.48242,-0.030793951
182,1198.876347,1227.494625,9228.541992,0.023870917
183,1188.454366,1227.68,3029.603271,0.033005587
184,1196.886562,1245.370786,2220.265869,0.040508621
185,1214.759827,1257.399625,3385.958984,0.035101423
186,1228.21816,1257,3814.850342,0.023433817
187,1194.851535,1091.171888,1054.787231,-0.086771992
188,1216.948291,952.2323625,21775.8125,-0.217524385
189,1180.358046,967.69,78563.29688,-0.180172488
190,1115.418003,1049.084488,92234.45313,-0.059469647
191,1065.066679,1118.630043,61186.89844,0.05029109
192,1038.915097,1113,22767.04297,0.071309873
193,1041.134723,1038.789,24739.65039,-0.002253044
194,1056.803938,941.9197143,15193.77148,-0.108709118
195,1051.022856,927.93,20058.17383,-0.117117202
196,921.6518452,956.7863125,31841.23047,0.038121192
197,1003.497742,1037.22925,28562.11328,0.033613935
198,980.6711032,1041.04,11286.73242,0.06155876
199,980.4036009,1040.5755,11213.92773,0.061374621
200,1000.641696,1037.90455,11272.31836,0.037238958
201,1017.441188,1034.74,5444.803711,0.017002272
202,972.599365,1086.929571,259.0632935,0.117551183
203,1054.630782,1099.169125,5333.032227,0.042231218
204,1060.030073,1079.99,3597.510498,0.018829586
205,1067.912885,1141.600363,3314.321777,0.069001394
206,1088.393503,1133.079314,5963.580566,0.041056668
207,1154.932632,1133.53,3142.553467,-0.018531498
208,1128.740705,1190.45425,3650.749512,0.054674688
209,1134.606315,1181.149838,6093.812988,0.041021738
210,1198.079062,1184.03,3149.273438,-0.011726323
211,1164.869718,1207.744875,3900.192139,0.036806826
212,1177.774392,1226.617038,3114.661621,0.04147029
213,1245.924972,1219.09,1600.11084,-0.021538193
214,1205.853651,1180.023713,2644.383301,-0.021420458
215,1203.264161,1185.260057,1744.976318,-0.014962719
216,1220.184118,1170.36,1691.324463,-0.040833279
217,1215.92596,1186.927413,2717.377197,-0.023848941
218,1190.600157,1205.634875,1672.087646,0.012627848
219,1185.698943,1176.97,696.8528442,-0.007361854
220,1185.477047,1217.930088,708.0255737,0.027375512
221,1190.715966,1241.686325,1613.930786,0.04280648
222,1197.300675,1236.63,2710.30542,0.032848327
223,1202.223769,1261.311225,2842.596924,0.049148468
224,1225.29589,1257.988113,4342.838867,0.026681084
225,1255.041996,1240.84,1370.963867,-0.011315953
226,1272.246748,1279.414688,563.928772,0.00563408
227,1255.097976,1309.109875,1347.985718,0.04303401
228,1288.707176,1288.02,2797.579102,-0.000533229
229,1275.737722,1331.294429,2966.295166,0.04354869
230,1290.304902,1334.979038,4740.913574,0.03462293
231,1327.965002,1333,2654.537109,0.003791514
232,1349.21616,1417.172813,1777.115479,0.050367506
233,1340.113761,1452.076288,9114.048828,0.083547032
234,1398.750525,1447.55,13563.10449,0.034887905
235,1402.57357,1508.292125,14143.13574,0.075374695
236,1434.368849,1533.335071,16928.15039,0.068996355
237,1562.386049,1518.75,9665.477539,-0.027929108
238,1523.935013,1535.868429,9171.34082,0.00783066
239,1508.137471,1640.619225,5348.779785,0.087844614
240,1606.626963,1651.1,12151.92383,0.027680998
241,1599.056249,1762.88625,17188.60742,0.102454183
242,1623.560962,1820.990563,38800.80078,0.121602826
243,1687.834758,1829,49415.23438,0.083636885
244,1859.104065,1771.920013,31792.78516,-0.046895735
245,1769.634772,1776.3165,23776.69336,0.003775767
246,1907.400901,1780,5174.967773,-0.066792933
247,1840.167793,1739.031975,7730.255371,-0.054960107
248,1783.956181,1807.485063,5771.308594,0.013189159
249,1772.93381,1783.98,2428.785645,0.006230458
250,1776.976374,1961.520488,2407.24585,0.10385288
251,1815.553529,2052.909788,28811.56836,0.130734927
252,1867.160274,2008.84,65540.52344,0.075879788
253,1904.107663,2090.662313,50776.80859,0.097974844
254,1977.265642,2287.710288,54660.61328,0.15700705
255,2249.318873,2256.32,61764.58594,0.003112554
256,2199.899142,2387.206286,55093.69922,0.085143514
257,2163.348105,2211.976857,80074.13281,0.022478468
258,2271.808556,2279.82,50772.13281,0.003526461
259,2481.675861,2192.9808,17369.62891,-0.116330688
260,2248.592323,2275.9307,35584.25781,0.012157996
261,2360.821015,2290.02,24699.48047,-0.029989997
262,2236.122716,2285.933914,10620.4707,0.0222757
263,2266.054684,2399.242671,5451.773926,0.058775275
264,2276.370607,2409.93,18353.3418,0.058672078
265,2328.148142,2525.765158,14702.46289,0.084881633
266,2292.230706,2516.173143,33301.85156,0.097696291
267,2423.608761,2529.53,41651.14063,0.043703935
268,2580.740752,2883.313697,15060.06836,0.117242673
269,2560.655699,2664.920863,106806.7031,0.04071815
270,2702.819641,2683.03,75546.67188,-0.00732185
271,2589.66164,2827.4913,64647.40625,0.091838121
272,2678.194582,2845.372857,93018.53125,0.062422005
273,3139.900418,2898.63,35019.15625,-0.07684015
274,2732.682153,2657.675063,50923.60156,-0.027448158
275,2728.728368,2748.185086,38396.30469,0.007130324
276,2798.193731,2706,28043.37891,-0.032947587
277,2793.958097,2442.48025,24367.82422,-0.125799255
278,2767.136891,2464.959814,79827.48438,-0.10920207
279,2611.486945,2477.94,74271.76563,-0.051138278
280,2593.954062,2507.389252,56552.01172,-0.033371759
281,2558.996797,2617.210263,35966.53125,0.02274855
282,2475.941244,2600,18227.53516,0.050105695
283,2410.193607,2671.04325,13483.75,0.108227672
