index,date,B_value,B_Profit rate,B _credit_of_future_tendency,B_Risk_credit,G_value,G_Profit rate,G_Credit_of_future_tendency,G_Risk_credit,DealDay,黄金买入评分,比特币买入评分,黄金持有份额,比特币持有份额,现金持有份额,Gold Asset,BCoin Asset,Total Asset,Gold Purchase,BCoin Purchase
0,2016/9/11,621.65,,0,-1,1324.6,0,,0,0,0,0.583817981,0,0,1000,0,0,1000,0,0
1,2016/9/12,609.67,-0.019271294,0,-3,1324.6,0,,0,1,0,0.58656493,0,0,1000,0,0,1000,0,0
2,2016/9/13,610.92,0.00205029,0,-2.995511088,1323.65,-0.000717198,,-3.121320344,1,0,0.5894099,0,0,1000,0,0,1000,0,0
3,2016/9/14,608.82,-0.003437439,0,-3.474993341,1321.75,-0.001435425,,-3.449489743,1,0,0.59234707,0,0,1000,0,0,1000,0,0
4,2016/9/15,610.38,0.002562334,0,-3.380798283,1310.8,-0.008284471,-1,-3.631432354,1,0,0.595690467,0,0,1000,0,0,1000,0,0
5,2016/9/16,609.11,-0.002080671,0,-3.798713433,1308.35,-0.001869088,-1.129874434,-3.411016896,1,0,0.598585102,0,0,1000,0,0,1000,0,0
6,2016/9/17,607.04,-0.003398401,0,-4.27229237,1308.35,0,-1.072820994,-3.238098078,0,0,0.602005358,0,0,1000,0,0,1000,0,0
7,2016/9/18,611.58,0.007478914,0,-3.409311655,1308.35,0,-0.876984499,-3.187765639,0,0,0.604588757,0,0,1000,0,0,1000,0,0
8,2016/9/19,610.19,-0.002272802,0,-3.899780407,1314.85,0.00496809,-0.789367105,-2.389321828,1,0,0.608165077,0,0,1000,0,0,1000,0,0
9,2016/9/20,608.66,-0.002507416,0,-4.403552849,1313.8,-0.00079857,-0.700381284,-2.613209372,1,0,0.611723689,0,0,1000,0,0,1000,0,0
10,2016/9/21,598.88,-0.016068084,0,-5.555017426,1326.1,0.009362156,-0.33706498,-0.786424453,1,0,0.616230898,0,0,1000,0,0,1000,0,0
11,2016/9/22,597.42,-0.002437884,0,-5.127589298,1339.1,0.009803182,0.026077162,0.590819951,1,0,0.619644795,0,0,1000,0,0,1000,0,0
12,2016/9/23,594.08,-0.005590707,0,-5.022678812,1338.65,-0.000336047,-0.00049778,0.37131639,1,0,0.623162179,0,0,1000,0,0,1000,0,0
13,2016/9/24,603.88,0.016496095,0,-3.663238186,1338.65,0,-0.000807661,0.282654552,0,0,0.625379484,0,0,1000,0,0,1000,0,0
14,2016/9/25,601.74,-0.00354375,0,-4.01946012,1338.65,0,0.000864468,0.231332847,0,0,0.629152271,0,0,1000,0,0,1000,0,0
15,2016/9/26,598.98,-0.004586699,0,-4.399538306,1340.5,0.001381989,0.002364064,0.340641184,1,0,0.633201872,0,0,1000,0,0,1000,0,0
16,2016/9/27,605.96,0.011653144,0,-3.424880548,1327,-0.010070869,0.003288425,-0.791857187,1,0,0.635631611,0,0,1000,0,0,1000,0,0
17,2016/9/28,605.67,-0.000478579,0,-3.540378863,1322.5,-0.003391108,-3.72E-05,-1.187318721,1,0,0.640486333,0,0,1000,0,0,1000,0,0
18,2016/9/29,603.85,-0.003004937,0,-3.895064076,1318.1,-0.003327032,0.000614353,-1.591527911,1,0,0.643532172,0,0,1000,0,0,1000,0,0
