,outputs,gt,train_loss,error,outputs_b,gt,train_loss,error
0,0,1324.6,0,0,0,621.65,0,0
1,0,1324.6,0,0,0,609.67,0,0
2,0,1323.65,0,0,0,610.92,0,0
3,0,1321.75,0,0,0,608.82,0,0
4,0,1310.8,0,0,0,610.38,0,0
5,0,1308.35,0,0,0,609.11,0,0
6,0,1308.35,0,0,0,607.04,0,0
7,0,1308.35,0,0,0,611.58,0,0
8,0,1314.85,0,0,0,610.19,0,0
9,0,1313.8,0,0,0,608.66,0,0
10,0,1326.1,9689158,0,0,598.88,2099795.5,0
11,1401.85869,1339.1,912530.6875,-0.0447682,648.3340078,597.42,195991.7188,-0.078530522
12,1319.545667,1338.65,3630.73291,0.014477963,606.4359871,594.08,1021.228333,-0.020374759
13,1318.690319,1338.65,621.8381958,0.015135988,602.2929932,603.88,222.3092804,0.002634942
14,1329.391432,1338.65,577.1373291,0.006964516,601.2014078,601.74,135.4797821,0.00089586
15,1345.620593,1340.5,153.7350464,-0.003805377,599.5150551,598.98,64.11952209,-0.00089248
16,1351.605318,1327,33.4095192,-0.018204514,599.3019873,605.96,61.18550873,0.011109612
17,1337.677085,1322.5,229.4884491,-0.011345851,599.2519683,605.67,90.09874725,0.010710072
18,1333.83719,1318.1,280.9308472,-0.011798434,601.5868454,603.85,41.26088333,0.003761975
19,1329.813077,1322.5,407.9075012,-0.005499327,598.7099631,609.39,36.32774734,0.017838415
20,1327.898487,1322.5,311.4561157,-0.004065437,604.3662126,614.82,75.31874847,0.017297108
21,1322.650814,1322.5,56.33436203,-0.000114024,609.7699687,612.98,81.82756042,0.005264332
22,1321.744108,1313.3,20.75711441,-0.00638861,609.2254532,611.85,90.08811188,0.004308006
23,1319.815801,1283.3,72.77679443,-0.027667346,610.4051404,609.62,75.11697388,-0.001286261
24,1313.0231,1269.4,1212.450806,-0.033223406,614.8783407,607.18,24.31669998,-0.012520104
25,1290.194001,1254.5,2498.670166,-0.027665608,616.1525338,612.08,42.45329285,-0.00660962
26,1285.782475,1258.75,3452.962891,-0.021024143,610.3728164,617.21,33.35925293,0.011201651
27,1276.896448,1258.75,2366.758301,-0.01421137,611.6766857,614.74,58.87506104,0.005008061
28,1265.607219,1258.75,650.350708,-0.005418126,612.2081278,615.65,66.78489685,0.005622062
29,1260.901948,1259.5,176.0429993,-0.001111861,613.2803935,617.54,65.20762634,0.00694561
30,1258.522551,1253.45,48.80252075,-0.00403056,613.5636138,614.77,22.1456871,0.001966196
31,1250.05181,1256.5,30.28778648,0.005158338,619.9030935,635.01,10.94222736,0.024369787
32,1231.375446,1261.05,48.07501984,0.024098705,619.2915936,635.96,320.3275757,0.02691528
