0,1,2,3,4,5,6
142,BCHAIN,1.036585159,1.036585159,0,1000,
189,BCHAIN,-1.036585159,0,1003.093092,1003.093092,
207,BCHAIN,0.884928579,0.884928579,0,1003.093092,0
290,BCHAIN,-0.884928579,0,2287.849382,2287.849382,1284.75629
315,BCHAIN,0.80971201,0.80971201,0,2287.849382,0
367,BCHAIN,-0.80971201,0,3207.48892,3207.48892,919.6395386
386,BCHAIN,0.731154301,0.731154301,0,3207.48892,0
472,BCHAIN,-0.731154301,0,11398.19958,11398.19958,8190.710663
483,BCHAIN,0.66438755,0.66438755,0,11398.19958,0
487,BCHAIN,-0.66438755,0,8834.224385,8834.224385,-2563.975199
526,BCHAIN,0.79509065,0.79509065,0,8834.224385,0
546,BCHAIN,-0.79509065,0,6978.804819,6978.804819,-1855.419566
582,BCHAIN,0.833977225,0.833977225,0,6978.804819,0
609,BCHAIN,-0.833977225,0,7058.382926,7058.382926,79.57810684
665,BCHAIN,1.045135276,1.045135276,0,7058.382926,0
672,BCHAIN,-1.045135276,0,6530.88312,6530.88312,-527.4998061
676,BCHAIN,0.882981132,0.882981132,0,6530.88312,0
695,BCHAIN,-0.882981132,0,6175.140323,6175.140323,-355.7427974
718,BCHAIN,0.890731421,0.890731421,0,6175.140323,0
729,BCHAIN,-0.890731421,0,5559.036986,5559.036986,-616.1033364
745,BCHAIN,0.859383757,0.859383757,0,5559.036986,0
746,BCHAIN,-0.859383757,0,5616.482494,5616.482494,57.44550725
751,BCHAIN,0.855826476,0.855826476,0,5616.482494,0
762,BCHAIN,-0.855826476,0,5346.347998,5346.347998,-270.1344957
769,BCHAIN,0.823931499,0.823931499,0,5346.347998,0
772,BCHAIN,-0.823931499,0,5340.251042,5340.251042,-6.096955499
789,BCHAIN,0.828592071,0.828592071,0,5340.251042,0
793,BCHAIN,-0.828592071,0,5279.841156,5279.841156,-60.40988623
833,BCHAIN,1.310954577,1.310954577,0,5279.841156,0
855,BCHAIN,-1.310954577,0,4630.239129,4630.239129,-649.6020269
884,BCHAIN,1.275734234,1.275734234,0,4630.239129,0
1001,BCHAIN,-1.275734234,0,10118.28196,10118.28196,5488.042828
1008,BCHAIN,1.142086599,1.142086599,0,10118.28196,0
1040,BCHAIN,-1.142086599,0,11048.86554,11048.86554,930.5835814
1060,BCHAIN,0.963647614,0.963647614,0,11048.86554,0
1071,BCHAIN,-0.963647614,0,9843.197827,9843.197827,-1205.667712
1092,BCHAIN,0.938590705,0.938590705,0,9843.197827,0
1107,BCHAIN,-0.938590705,0,9416.927472,9416.927472,-426.2703546
1143,BCHAIN,1.021496109,1.021496109,0,9416.927472,0
1162,BCHAIN,-1.021496109,0,8665.045046,8665.045046,-751.8824262
1201,BCHAIN,1.204696561,1.204696561,0,8665.045046,0
1204,BCHAIN,-1.204696561,0,8795.573918,8795.573918,130.5288723
1206,BCHAIN,1.21829103,1.21829103,0,8795.573918,0
1210,BCHAIN,-1.21829103,0,8925.626486,8925.626486,130.0525674
1213,BCHAIN,1.150322259,1.150322259,0,8925.626486,0
1264,BCHAIN,-1.150322259,0,10106.17921,10106.17921,1180.552728
1303,BCHAIN,1.491149935,1.491149935,0,10106.17921,0
1354,BCHAIN,-1.491149935,0,13186.0152,13186.0152,3079.835987
1359,BCHAIN,1.395221504,1.395221504,0,13186.0152,0
1375,BCHAIN,-1.395221504,0,13290.88005,13290.88005,104.8648483
1400,BCHAIN,1.439036121,1.439036121,0,13290.88005,0
1401,BCHAIN,-1.439036121,0,13377.13587,13377.13587,86.25582507
1402,BCHAIN,1.448035032,1.448035032,0,13377.13587,0
1403,BCHAIN,-1.448035032,0,13400.86917,13400.86917,23.73329418
1412,BCHAIN,1.394020163,1.394020163,0,13400.86917,0
1447,BCHAIN,-1.394020163,0,15755.22982,15755.22982,2354.360653
1472,BCHAIN,1.510501917,1.510501917,0,15755.22982,0
1473,BCHAIN,-1.510501917,0,15908.9385,15908.9385,153.708675
1480,BCHAIN,1.467505949,1.467505949,0,15908.9385,0
1598,BCHAIN,-1.467505949,0,47317.17588,47317.17588,31408.23738
1609,BCHAIN,1.23612576,1.23612576,0,47317.17588,0
1685,BCHAIN,-1.23612576,0,63946.89934,63946.89934,16629.72346
1703,BCHAIN,1.144289447,1.144289447,0,63946.89934,0
1706,BCHAIN,-1.144289447,0,56873.78308,56873.78308,-7073.116262
1739,BCHAIN,1.415173449,1.415173449,0,56873.78308,0
1745,BCHAIN,-1.415173449,0,44841.96426,44841.96426,-12031.81882
1780,BCHAIN,1.201613056,1.201613056,0,44841.96426,0
1825,BCHAIN,1.201613056,1.201613056,55717.22331,55717.22331,10875.25905
