index,date,B_value,B_Profit rate,B _credit_of_future_tendency,B_Risk_credit,G_value,G_Profit rate,G_Credit_of_future_tendency,G_Risk_credit,DealDay,Gold_buy_credit,Bit_buy_credit,Bit_Credit_to_SELL,GOLD_Credit_to_SELL
0,2016/9/11,621.65,,0,-1,1324.6,0,,0,0,,0.583817981,0,0
1,2016/9/12,609.67,-0.019271294,0,-3,1324.6,0,,0,1,,0.58656493,-0.201707064,0
2,2016/9/13,610.92,0.00205029,0,-2.995511088,1323.65,-0.000717198,,-3.121320344,1,,0.5894099,-0.171471124,0
3,2016/9/14,608.82,-0.003437439,0,-3.474993341,1321.75,-0.001435425,,-3.449489743,1,,0.59234707,-0.206570695,-0.92
4,2016/9/15,610.38,0.002562334,0,-3.380798283,1310.8,-0.008284471,-1,-3.631432354,1,,0.595690467,-0.192860182,-1.11
5,2016/9/16,609.11,-0.002080671,0,-3.798713433,1308.35,-0.001869088,-1.129874434,-3.411016896,1,,0.598585102,-0.223922134,-1.07
6,2016/9/17,607.04,-0.003398401,0,-4.27229237,1308.35,0,-1.072820994,-3.238098078,0,,0.602005358,-0.253087549,-1.01
7,2016/9/18,611.58,0.007478914,0,-3.409311655,1308.35,0,-0.876984499,-3.187765639,0,,0.604588757,-0.187681382,-0.97
8,2016/9/19,610.19,-0.002272802,0,-3.899780407,1314.85,0.00496809,-0.789367105,-2.389321828,1,,0.608165077,-0.23001932,-0.75
9,2016/9/20,608.66,-0.002507416,0,-4.403552849,1313.8,-0.00079857,-0.700381284,-2.613209372,1,,0.611723689,-0.259374933,-0.79
10,2016/9/21,598.88,-0.016068084,0,-5.555017426,1326.1,0.009362156,-0.33706498,-0.786424453,1,,0.616230898,-0.346039734,-0.26
11,2016/9/22,597.42,-0.002437884,0,-5.127589298,1339.1,0.009803182,0.026077162,0.590819951,1,,0.619644795,-0.301680272,0.16
12,2016/9/23,594.08,-0.005590707,0,-5.022678812,1338.65,-0.000336047,-0.00049778,0.37131639,1,,0.623162179,-0.299805467,0.1
