,outputs,gt
0,0,1324.6
1,0,1324.6
2,0,1323.65
3,0,1321.75
4,0,1310.8
5,[-427.88106263806185],1308.35
6,"[-447.23839287176816, 415.83167674030483]",1308.35
7,"[-465.19680658276775, 349.41833490437057, 1387.661726516977]",1308.35
8,"[-476.09802849759944, 281.4420531195974, 1391.3710862550797, 1318.351640701294]",1314.85
9,"[-482.65963663753064, 216.67569596757676, 1394.4940932287282, 1318.3358842134476, 1317.1854363246239]",1313.8
10,"[158.92133041366833, 1398.0538667395158, 1318.6661401987076, 1317.4909271286306, 1326.2724162484228]",1326.1
11,"[1401.8586902619281, 1319.0959771871567, 1317.875102583028, 1327.1738413966232, 1340.1825223118212]",1339.1
12,"[1319.5456673502922, 1318.2718174239417, 1327.9862369005568, 1341.7167220578413, 1345.981441706128]",1338.65
13,"[1318.6903194489278, 1328.8089773983666, 1343.1519615729485, 1347.6761072979425, 1335.4886744978794]",1338.65
14,"[1329.391431902055, 1344.3375873426703, 1349.0751322834985, 1336.2997705672096, 1333.1603450904367]",1338.65
15,"[1345.6205925089453, 1350.5664252336428, 1337.2427236239964, 1333.8944979782245, 1330.7622559935044]",1340.5
16,"[1351.6053178176226, 1337.7251350236256, 1334.2220652158285, 1330.8562799228166, 1329.6840932369232]",1327.0
17,"[1337.6770854434508, 1334.0284301967185, 1330.5031713801363, 1329.1575520634651, 1325.1751749515533]",1322.5
18,"[1333.8371896749595, 1330.165866519972, 1328.7385563254356, 1324.5701719522476, 1323.9391215443611]",1318.1
19,"[1329.8130772436052, 1328.3265917897224, 1323.9824273586273, 1323.347222149372, 1321.691853404045]",1322.5
20,"[1327.8984874486923, 1323.3732695579529, 1322.7163315415382, 1321.0366731882095, 1315.302807599306]",1322.5
21,"[1322.6508135199547, 1321.9662300944328, 1320.2261673212051, 1314.1728614270687, 1295.4644412398338]",1322.5
22,"[1321.7441080212593, 1319.9308568239212, 1313.6094064414501, 1293.8122972846031, 1291.5680715441704]",1313.3
23,"[1319.8158007860184, 1313.228762716055, 1292.5537318587303, 1289.8906299471855, 1284.0020847320557]",1283.3
24,"[1313.0231000483036, 1291.4870517849922, 1288.6520978808403, 1282.2018304467201, 1274.0379397571087]",1269.4
25,"[1290.1940007805824, 1287.2497630119324, 1280.472678244114, 1271.8763418495655, 1268.5344651341438]",1254.5
26,"[1285.782474577427, 1278.7283912301064, 1269.7598330676556, 1266.2891528010368, 1264.4478295743465]",1258.75
27,"[1276.8964484333992, 1267.554564923048, 1263.9426264166832, 1262.1566398441792, 1254.8589099315432]",1258.75
28,"[1265.6072191894054, 1261.8426713347435, 1260.0068660080433, 1252.3884315434116, 1237.0767529304721]",1258.75
29,"[1260.9019482135773, 1258.9871580898762, 1251.047515992439, 1234.889579468785, 1248.9834288842758]",1259.5
30,"[1258.5225509107113, 1250.2446887950791, 1233.3827137908374, 1248.0092032014, 1249.6290764212608]",1253.45
31,"[1250.0518098740285, 1232.4827248788206, 1247.7126076222703, 1249.3034138679504, 1255.836258739233]",1256.5
32,"[1231.3754463227815, 1247.2550030144703, 1248.8948717713356, 1255.7373137772083, 1255.0666951537132]",1261.05
33,"[1246.7766669809862, 1248.488882124424, 1255.6190002262592, 1254.9048398137093, 1256.1228694438469]",1251.75
34,"[1248.06517547369, 1255.4900264441967, 1254.7432847619057, 1255.9593116219621, 1254.3844662707997]",1251.75
35,"[1255.319612890482, 1254.5423919558525, 1255.7972570888815, 1254.1869341219426, 1256.689609322988]",1251.75
36,"[1254.586384177208, 1255.893768230104, 1254.2233137110015, 1256.8919519960182, 1259.7448183239758]",1254.8
37,"[1255.8737744890095, 1254.1340183560387, 1256.924272705306, 1259.987599465836, 1261.919400743529]",1258.2
38,"[1253.8429816435673, 1256.7479369285866, 1259.9548277699068, 1262.0465789763548, 1261.2517798431509]",1269.05
39,"[1256.949978943856, 1260.289159199936, 1262.483134045062, 1261.6864483195532, 1273.6693103541038]",1271.65
40,"[1260.6424320688966, 1262.9269049000286, 1262.1032680904027, 1274.6532520900364, 1268.364105471468]",1266.05
41,"[1263.3923231137742, 1262.5338868605031, 1275.6166193985264, 1269.0092831343063, 1266.2688697884514]",1266.05
42,"[1262.8580133537762, 1276.4855863928678, 1269.595794501205, 1266.7328944186083, 1267.2193547381685]",1266.05
43,"[1277.2542530534265, 1270.0801325258217, 1267.0977775564024, 1267.6130404501964, 1267.6963405267306]",1265.55
44,"[1270.1318255669466, 1267.0262258983057, 1267.5645308514868, 1267.6654156575532, 1268.5267642196413]",1269.4
45,"[1266.832945465947, 1267.3932313310434, 1267.5010893919243, 1268.4332316496293, 1267.8680174532929]",1270.5
46,"[1267.4455307421522, 1267.5577849854162, 1268.5352533994155, 1267.9293037846946, 1271.3011990785599]",1266.25
47,"[1267.619634723771, 1268.6371235567058, 1268.0028473823768, 1271.5273219943047, 1270.8772754073143]",1273.0
48,"[1268.743844673867, 1268.083351896712, 1271.7543536424637, 1271.1267224550247, 1276.394117116928]",1273.0
49,"[1268.191094780559, 1272.0136452913284, 1271.3702627420425, 1276.8993042707443, 1279.97185587883]",1273.0
50,"[1272.1248135566711, 1271.4543204903603, 1277.2176829576492, 1280.49449467659, 1285.4307301044464]",1272.0
51,"[1271.4908212423325, 1277.4917496442795, 1280.9172797203064, 1286.1989059448242, 1290.5759299993515]",1288.45
52,"[1277.959453701973, 1281.5256592035294, 1287.0506979227066, 1291.8178800344467, 1308.2446865924867]",1303.75
53,"[1281.8803069591522, 1287.6300925016403, 1292.6312783956528, 1309.9818483418203, 1309.9774883687496]",1301.0
54,"[1288.2313395738602, 1293.4343575239182, 1311.5500553675229, 1311.6145178675652, 1295.3564354777336]",1302.8
55,"[1294.2708224058151, 1313.1408408881107, 1313.2364717125893, 1296.1930565536022, 1293.870007097721]",1302.8
